word1,word2
ಸ್ತ್ರೀ,ಎಂಬ
ಜೋ,ಎಂದು
ಥೈ,ಎಂದು
ನಡೆ,ಎಂದು
ಉಘೇ,ಎಂದು
ಒತ್ತೆ  ,ಇಟ್ಟ 
ಮೇ ,ಇಸು 
ಕರೆ,ಅನ್ನು
ಕೆರೆ ,ಅಲ್ಲಿ
ಗಾಳಿ,ಅನ್ನು
ಮಳೆ ,ಇಂದ
ಕೆರೆ ,ಅನ್ನು
ಕೆರೆ ,ಇಂದ
ಸ್ತ್ರೀ,ಇಂದ
ಮನೆ,ಇಂದ
ಮನೆ,ಅಲ್ಲಿ
ಮನೆ,ಒಳಗೆ
ಸ್ತ್ರೀ,ಅನ್ನು
ಕೈ,ಇಂದ
ನಡೆ,ಇಂದ
ನಡೆ,ಅನ್ನು
ಜೈ,ಎಂದು
ಕೈ,ಇಂದ
ಮಳೆ ,ಇಂದ
