word1,word2
ಮಗು ,ಇಗೆ 
ಮಗು,ಅನ್ನು
ಹೂ ,ಇದು 
ಗುರು,ಅನ್ನು
ಮಾತೃ,ಅನ್ನು 
ಮಗು,ಇಂದ
ಮಗು,ಎಂಬ
ಹೂ ,ಇಂದ
ಗುರು,ಇಂದ
ಗುರು,ಇಗೆ 
ಹೂ,ಒಂದು
ಮಗು,ಒಂದು
ಮನ,ಅನ್ನು
ಮಗು,ಎಂಬ
